geoid,school_id,school,sat_g11,transit_min_median
17031030500,609726,BROOKS HS,1111.0,87.9
17031030500,609694,HANCOCK HS,1078.0,86.6
17031030500,609751,KING HS,939.0,78.5
17031030500,610547,SOUTH SHORE INTL HS,901.0,69.7
17031030500,610391,LINDBLOM HS,1046.0,84.7
17031030500,609755,YOUNG HS,1297.0,64.0
17031030500,609693,WESTINGHOUSE HS,1005.0,75.4
17031030601,609680,PAYTON HS,1334.0,42.3
17031030601,609678,JONES HS,1276.0,45.7
17031030601,609720,LANE TECH HS,1256.0,39.8
17031030601,609749,NORTHSIDE PREP HS,1303.0,41.3
17031030601,609694,HANCOCK HS,1078.0,84.1
17031030601,609726,BROOKS HS,1111.0,85.3
17031030601,609751,KING HS,939.0,72.4
17031030601,610547,SOUTH SHORE INTL HS,901.0,65.9
17031030601,610391,LINDBLOM HS,1046.0,82.0
17031030601,609693,WESTINGHOUSE HS,1005.0,74.5
17031030601,609755,YOUNG HS,1297.0,63.5
17031030603,609680,PAYTON HS,1334.0,39.4
17031030603,609678,JONES HS,1276.0,41.5
17031030603,609749,NORTHSIDE PREP HS,1303.0,37.1
17031030603,609720,LANE TECH HS,1256.0,37.2
17031030603,609726,BROOKS HS,1111.0,81.1
17031030603,609694,HANCOCK HS,1078.0,78.0
17031030603,609751,KING HS,939.0,71.6
17031030603,610547,SOUTH SHORE INTL HS,901.0,65.0
17031030603,610391,LINDBLOM HS,1046.0,77.7
17031030603,609693,WESTINGHOUSE HS,1005.0,72.3
17031030603,609755,YOUNG HS,1297.0,62.6
17031030604,609680,PAYTON HS,1334.0,42.2
17031030604,609678,JONES HS,1276.0,48.2
17031030604,609720,LANE TECH HS,1256.0,44.7
17031030604,609749,NORTHSIDE PREP HS,1303.0,41.2
17031030604,609694,HANCOCK HS,1078.0,84.3
17031030604,609726,BROOKS HS,1111.0,89.7
17031030604,610547,SOUTH SHORE INTL HS,901.0,65.7
17031030604,609751,KING HS,939.0,72.2
17031030604,609693,WESTINGHOUSE HS,1005.0,74.4
17031030604,610391,LINDBLOM HS,1046.0,86.3
17031030604,609755,YOUNG HS,1297.0,63.4
17031030701,609680,PAYTON HS,1334.0,38.5
17031030701,609720,LANE TECH HS,1256.0,36.6
17031030701,609678,JONES HS,1276.0,40.5
17031030701,609749,NORTHSIDE PREP HS,1303.0,36.3
17031030701,609726,BROOKS HS,1111.0,79.2
17031030701,609694,HANCOCK HS,1078.0,77.1
17031030701,609751,KING HS,939.0,69.5
17031030701,610547,SOUTH SHORE INTL HS,901.0,63.0
17031030701,610391,LINDBLOM HS,1046.0,76.8
17031030701,609693,WESTINGHOUSE HS,1005.0,69.4
17031030701,609755,YOUNG HS,1297.0,60.8
17031030702,609680,PAYTON HS,1334.0,36.1
17031030702,609678,JONES HS,1276.0,40.7
17031030702,609749,NORTHSIDE PREP HS,1303.0,33.2
17031030702,609720,LANE TECH HS,1256.0,41.1
17031030702,609694,HANCOCK HS,1078.0,78.6
17031030702,609726,BROOKS HS,1111.0,84.3
17031030702,610547,SOUTH SHORE INTL HS,901.0,59.9
17031030702,609693,WESTINGHOUSE HS,1005.0,68.5
17031030702,610391,LINDBLOM HS,1046.0,80.9
17031030702,609755,YOUNG HS,1297.0,57.8
17031030702,609751,KING HS,939.0,66.5
17031030703,609680,PAYTON HS,1334.0,36.5
17031030703,609678,JONES HS,1276.0,39.0
17031030703,609720,LANE TECH HS,1256.0,35.2
17031030703,609726,BROOKS HS,1111.0,77.7
17031030703,609749,NORTHSIDE PREP HS,1303.0,31.7
17031030703,609694,HANCOCK HS,1078.0,77.6
17031030703,610547,SOUTH SHORE INTL HS,901.0,60.3
17031030703,609693,WESTINGHOUSE HS,1005.0,67.9
17031030703,610391,LINDBLOM HS,1046.0,75.3
17031030703,609755,YOUNG HS,1297.0,58.2
17031030703,609751,KING HS,939.0,66.9
17031030706,609680,PAYTON HS,1334.0,40.0
17031030706,609678,JONES HS,1276.0,46.3
17031030706,609749,NORTHSIDE PREP HS,1303.0,35.8
17031030706,609720,LANE TECH HS,1256.0,43.5
17031030706,609726,BROOKS HS,1111.0,87.9
17031030706,609694,HANCOCK HS,1078.0,82.4
17031030706,610547,SOUTH SHORE INTL HS,901.0,63.8
17031030706,610391,LINDBLOM HS,1046.0,84.5
17031030706,609693,WESTINGHOUSE HS,1005.0,72.4
17031030706,609755,YOUNG HS,1297.0,61.7
17031030706,609751,KING HS,939.0,70.3
17031030800,609680,PAYTON HS,1334.0,43.8
17031030800,609678,JONES HS,1276.0,45.9
17031030800,609749,NORTHSIDE PREP HS,1303.0,28.4
17031030800,609720,LANE TECH HS,1256.0,37.5
