geoid,school_id,school,sat_g11,drive_min,drive_mi
17031030603,609751,KING HS,939.0,25.9,13.38
17031030603,609755,YOUNG HS,1297.0,17.8,8.54
17031030603,610391,LINDBLOM HS,1046.0,31.8,18.5
17031030603,610547,SOUTH SHORE INTL HS,901.0,33.3,17.17
17031030604,609678,JONES HS,1276.0,17.4,8.92
17031030604,609680,PAYTON HS,1334.0,13.2,6.62
17031030604,609693,WESTINGHOUSE HS,1005.0,19.7,10.0
17031030604,609694,HANCOCK HS,1078.0,32.0,16.15
17031030604,609720,LANE TECH HS,1256.0,9.8,5.12
17031030604,609726,BROOKS HS,1111.0,37.2,22.8
17031030604,609749,NORTHSIDE PREP HS,1303.0,8.3,3.66
17031030604,609751,KING HS,939.0,25.5,13.18
17031030604,609755,YOUNG HS,1297.0,18.1,8.82
17031030604,610391,LINDBLOM HS,1046.0,31.8,18.44
17031030604,610547,SOUTH SHORE INTL HS,901.0,32.9,16.98
17031030701,609678,JONES HS,1276.0,18.6,9.01
17031030701,609680,PAYTON HS,1334.0,14.1,6.17
17031030701,609693,WESTINGHOUSE HS,1005.0,19.0,9.1
17031030701,609694,HANCOCK HS,1078.0,31.2,15.26
17031030701,609720,LANE TECH HS,1256.0,9.1,4.21
17031030701,609726,BROOKS HS,1111.0,36.8,22.24
17031030701,609749,NORTHSIDE PREP HS,1303.0,8.0,3.45
17031030701,609751,KING HS,939.0,26.7,13.27
17031030701,609755,YOUNG HS,1297.0,17.3,7.93
17031030701,610391,LINDBLOM HS,1046.0,31.4,17.88
17031030701,610547,SOUTH SHORE INTL HS,901.0,33.9,19.53
17031030702,609678,JONES HS,1276.0,17.6,8.75
17031030702,609680,PAYTON HS,1334.0,13.3,5.9
17031030702,609693,WESTINGHOUSE HS,1005.0,19.2,9.13
17031030702,609694,HANCOCK HS,1078.0,31.4,15.29
17031030702,609720,LANE TECH HS,1256.0,9.2,4.24
17031030702,609726,BROOKS HS,1111.0,37.0,22.23
17031030702,609749,NORTHSIDE PREP HS,1303.0,8.2,3.48
17031030702,609751,KING HS,939.0,25.7,13.01
17031030702,609755,YOUNG HS,1297.0,17.5,7.96
17031030702,610391,LINDBLOM HS,1046.0,31.6,17.87
17031030702,610547,SOUTH SHORE INTL HS,901.0,33.1,16.8
17031030703,609678,JONES HS,1276.0,17.6,8.74
17031030703,609680,PAYTON HS,1334.0,13.3,5.9
17031030703,609693,WESTINGHOUSE HS,1005.0,18.5,8.83
17031030703,609694,HANCOCK HS,1078.0,30.7,14.99
17031030703,609720,LANE TECH HS,1256.0,8.6,3.94
17031030703,609726,BROOKS HS,1111.0,36.3,21.97
17031030703,609749,NORTHSIDE PREP HS,1303.0,7.4,3.18
17031030703,609751,KING HS,939.0,25.7,13.0
17031030703,609755,YOUNG HS,1297.0,16.8,7.66
17031030703,610391,LINDBLOM HS,1046.0,30.9,17.62
17031030703,610547,SOUTH SHORE INTL HS,901.0,33.1,16.79
17031030706,609678,JONES HS,1276.0,18.0,9.18
17031030706,609680,PAYTON HS,1334.0,13.9,6.88
17031030706,609693,WESTINGHOUSE HS,1005.0,20.3,10.26
17031030706,609694,HANCOCK HS,1078.0,32.6,16.41
17031030706,609720,LANE TECH HS,1256.0,10.4,5.37
17031030706,609726,BROOKS HS,1111.0,37.9,23.06
17031030706,609749,NORTHSIDE PREP HS,1303.0,8.9,4.03
17031030706,609751,KING HS,939.0,26.1,13.44
17031030706,609755,YOUNG HS,1297.0,18.8,9.08
17031030706,610391,LINDBLOM HS,1046.0,32.4,18.7
17031030706,610547,SOUTH SHORE INTL HS,901.0,33.5,17.23
17031030800,609678,JONES HS,1276.0,18.6,9.14
17031030800,609680,PAYTON HS,1334.0,13.7,6.09
17031030800,609693,WESTINGHOUSE HS,1005.0,17.9,8.64
17031030800,609694,HANCOCK HS,1078.0,30.0,14.8
17031030800,609720,LANE TECH HS,1256.0,7.9,3.75
17031030800,609726,BROOKS HS,1111.0,35.7,21.78
17031030800,609749,NORTHSIDE PREP HS,1303.0,6.8,2.99
17031030800,609751,KING HS,939.0,26.1,14.16
17031030800,609755,YOUNG HS,1297.0,16.2,7.47
17031030800,610391,LINDBLOM HS,1046.0,30.2,17.42
17031030800,610547,SOUTH SHORE INTL HS,901.0,32.8,19.07
17031030900,609678,JONES HS,1276.0,18.2,8.97
17031030900,609680,PAYTON HS,1334.0,13.2,6.45
17031030900,609693,WESTINGHOUSE HS,1005.0,16.9,8.39
17031030900,609694,HANCOCK HS,1078.0,29.0,14.54
17031030900,609720,LANE TECH HS,1256.0,6.9,3.5
